title,genre_ids,vote_average,vote_count,release_year,id
Hidden Figures,"[18, 36]",8.05,10162,2016,381284
Miss Peregrine's Home for Peculiar Children,"[14, 12, 18, 10751]",6.837,10283,2016,283366
Now You See Me 2,"[53, 80]",6.825,11155,2016,291805
Your Name.,"[16, 10749, 18]",8.479,12100,2016,372058
Finding Dory,"[12, 16, 35, 10751]",7.04,12429,2016,127380
Me Before You,"[18, 10749]",7.925,12881,2016,296096
Moana,"[12, 35, 10751, 16]",7.565,13382,2016,277834
X-Men: Apocalypse,"[28, 12, 878, 14]",6.517,13441,2016,246655
Passengers,"[18, 10749, 878]",6.952,13848,2016,274870
Hacksaw Ridge,"[18, 36, 10752]",8.191,14416,2016,324786
Rogue One: A Star Wars Story,"[28, 12, 878]",7.5,15964,2016,330459
Zootopia,"[16, 12, 10751, 35]",7.751,17070,2016,269149
La La Land,"[35, 18, 10749]",7.9,17624,2016,313369
Batman v Superman: Dawn of Justice,"[28, 12, 14]",6.0,18593,2016,209112
Arrival,"[18, 878, 9648]",7.622,18712,2016,329865
Fantastic Beasts and Where to Find Them,"[14, 12]",7.3,19331,2016,259316
Suicide Squad,"[28, 12, 14]",5.92,21707,2016,297761
Doctor Strange,"[14, 12, 28]",7.418,22914,2016,284052
Captain America: Civil War,"[12, 28, 878]",7.4,23515,2016,271110
Deadpool,"[28, 12, 35]",7.622,32067,2016,293660
Hostiles,"[18, 37, 36, 12]",6.941,2425,2017,384680
The Mountain Between Us,"[18, 12, 10749]",6.651,2472,2017,290512
The Space Between Us,"[10749, 12, 878, 18]",7.057,2507,2017,365942
The Big Sick,"[35, 18, 10749]",7.3,2541,2017,416477
It Comes at Night,"[18, 27, 9648]",5.863,2542,2017,418078
Loving Vincent,"[16, 18, 9648, 36]",7.991,2542,2017,339877
Rings,[27],5.01,2560,2017,14564
Paddington 2,"[12, 35, 10751]",7.47,2623,2017,346648
Daddy's Home 2,[35],6.305,2645,2017,419680
47 Meters Down,"[27, 53]",5.808,2789,2017,403119
The Foreigner,"[28, 53, 80]",6.965,2802,2017,379149
1922,"[27, 80, 18]",5.937,2838,2017,452507
Going in Style,"[80, 35]",6.691,2926,2017,353070
You Were Never Really Here,"[80, 18, 53]",6.545,2934,2017,398181
The Florida Project,[18],7.428,2967,2017,394117
Good Time,"[80, 53, 18]",7.213,2994,2017,429200
Ferdinand,"[16, 10751, 12, 35]",7.224,2998,2017,364689
The Lost City of Z,"[12, 18, 36]",6.396,3006,2017,314095
American Assassin,"[28, 12, 53]",6.411,3150,2017,415842
The Emoji Movie,"[16, 10751, 35]",5.416,3225,2017,378236
T2 Trainspotting,"[18, 35, 80]",6.944,3249,2017,180863
The Ritual,"[27, 9648]",6.267,3265,2017,433808
Pitch Perfect 3,"[35, 10402]",6.511,3398,2017,353616
A Dog's Purpose,"[12, 35, 14, 10751, 18]",7.639,3449,2017,381289
Before I Fall,"[18, 14]",6.963,3484,2017,397837
To the Bone,[18],7.2,3558,2017,401104
Phantom Thread,"[18, 10749]",7.3,3639,2017,400617
The Disaster Artist,"[35, 18]",7.104,3640,2017,371638
Logan Lucky,"[35, 80, 28, 18]",6.73,3700,2017,399170
"Everything, Everything","[18, 10749]",7.242,3723,2017,417678
The Babysitter,"[35, 27]",6.174,3783,2017,419479
Gerald's Game,"[27, 53]",6.402,3820,2017,343674
Jigsaw,"[27, 9648]",6.217,3844,2017,298250
Molly's Game,"[18, 80]",7.151,3886,2017,396371
Downsizing,"[18, 878, 35]",5.387,3977,2017,301337
A Cure for Wellness,"[27, 9648, 878]",6.341,4045,2017,340837
Death Note,"[80, 14, 27]",4.265,4051,2017,351460
The Killing of a Sacred Deer,"[18, 53, 9648]",7.011,4275,2017,399057
Okja,"[12, 18, 878]",7.35,4431,2017,387426
The Circle,"[18, 53, 878]",5.521,4509,2017,339988
Power Rangers,"[28, 12, 878]",6.256,4538,2017,305470
The Post,"[18, 36]",7.006,4780,2017,446354
American Made,"[28, 35, 80, 18]",6.895,4788,2017,337170
The Invisible Guest,"[18, 9648, 53]",8.082,4794,2017,411088
Geostorm,"[28, 878, 53]",6.1,5003,2017,274855
The Lego Batman Movie,"[16, 28, 35, 10751]",7.233,5241,2017,324849
Darkest Hour,"[18, 36]",7.351,5348,2017,399404
The Dark Tower,"[14, 28, 878]",5.781,5362,2017,353491
Wind River,"[80, 9648, 53, 18]",7.4,5544,2017,395834
Gifted,"[18, 35]",8.0,5790,2017,400928
Bright,"[14, 28, 53]",6.2,5837,2017,400106
Annabelle: Creation,[27],6.605,5857,2017,396422
King Arthur: Legend of the Sword,"[28, 18, 14]",6.549,5896,2017,274857
"I, Tonya","[18, 35]",7.475,6017,2017,389015
Cars 3,"[16, 12, 35, 10751]",6.855,6191,2017,260514
What Happened to Monday,"[878, 53, 9648, 28]",7.155,6286,2017,406990
Happy Death Day,"[35, 27, 9648]",6.662,6409,2017,440021
Atomic Blonde,"[28, 12, 53]",6.429,6448,2017,341013
The Hitman's Bodyguard,"[28, 35, 80, 53]",6.891,6460,2017,390043
Transformers: The Last Knight,"[28, 12, 878]",6.056,6522,2017,335988
mother!,"[18, 27]",6.967,6911,2017,381283
The Boss Baby,"[16, 35, 10751]",6.457,7309,2017,295693
The Mummy,"[14, 53, 28, 12, 27]",5.517,7453,2017,282035
Despicable Me 3,"[28, 16, 35, 10751, 12]",6.466,7456,2017,324852
Life,"[27, 878, 9648, 53]",6.446,7689,2017,395992
Valerian and the City of a Thousand Planets,"[12, 878, 28]",6.631,7762,2017,339964
Fifty Shades Darker,"[18, 10749]",6.476,7826,2017,341174
Wonder,"[10751, 18]",8.1,8097,2017,406997
Baywatch,"[35, 28, 80]",6.091,8324,2017,339846
Ghost in the Shell,"[878, 18, 28]",6.103,8348,2017,315837
