title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year,Winner,cpi_multiplier,budget_2024,revenue_2024
Aquaman,6.872,14563,160000000,1152028393,tt1477834,297802,Action,2018,No,1.25,200000000.0,1440035491.25
Aquaman,6.872,14563,160000000,1152028393,tt1477834,297802,Adventure,2018,No,1.25,200000000.0,1440035491.25
Aquaman,6.872,14563,160000000,1152028393,tt1477834,297802,Fantasy,2018,No,1.25,200000000.0,1440035491.25
Aquaman and the Lost Kingdom,6.6,3268,205000000,440181226,tt9663764,572802,Action,2023,No,1.03,211150000.0,453386662.78000003
Aquaman and the Lost Kingdom,6.6,3268,205000000,440181226,tt9663764,572802,Adventure,2023,No,1.03,211150000.0,453386662.78000003
Aquaman and the Lost Kingdom,6.6,3268,205000000,440181226,tt9663764,572802,Fantasy,2023,No,1.03,211150000.0,453386662.78000003
Argylle,6.0,1594,200000000,96221061,tt15009428,848538,Action,2024,No,1.0,200000000.0,96221061.0
Argylle,6.0,1594,200000000,96221061,tt15009428,848538,Adventure,2024,No,1.0,200000000.0,96221061.0
Argylle,6.0,1594,200000000,96221061,tt15009428,848538,Comedy,2024,No,1.0,200000000.0,96221061.0
Army of Thieves,6.813,2178,30000000,46900000,tt13024674,796499,Action,2021,No,1.16,34800000.0,54403999.99999999
Army of Thieves,6.813,2178,30000000,46900000,tt13024674,796499,Crime,2021,No,1.16,34800000.0,54403999.99999999
Army of Thieves,6.813,2178,30000000,46900000,tt13024674,796499,Comedy,2021,No,1.16,34800000.0,54403999.99999999
Army of the Dead,6.229,4247,90000000,190700000,tt0993840,503736,Crime,2021,No,1.16,104400000.0,221211999.99999997
Army of the Dead,6.229,4247,90000000,190700000,tt0993840,503736,Action,2021,No,1.16,104400000.0,221211999.99999997
Army of the Dead,6.229,4247,90000000,190700000,tt0993840,503736,Horror,2021,No,1.16,104400000.0,221211999.99999997
Arrival,7.622,18712,47000000,203388186,tt2543164,329865,Drama,2016,No,1.31,61570000.0,266438523.66
Arrival,7.622,18712,47000000,203388186,tt2543164,329865,Science Fiction,2016,No,1.31,61570000.0,266438523.66
Arrival,7.622,18712,47000000,203388186,tt2543164,329865,Mystery,2016,No,1.31,61570000.0,266438523.66
Artemis Fowl,5.535,1697,125000000,0,tt3089630,475430,Adventure,2020,No,1.21,151250000.0,0.0
Artemis Fowl,5.535,1697,125000000,0,tt3089630,475430,Fantasy,2020,No,1.21,151250000.0,0.0
Artemis Fowl,5.535,1697,125000000,0,tt3089630,475430,Science Fiction,2020,No,1.21,151250000.0,0.0
Artemis Fowl,5.535,1697,125000000,0,tt3089630,475430,Family,2020,No,1.21,151250000.0,0.0
Artemis Fowl,5.535,1697,125000000,0,tt3089630,475430,Action,2020,No,1.21,151250000.0,0.0
Arthur the King,7.577,855,19000000,40829138,tt10720352,618588,Adventure,2024,No,1.0,19000000.0,40829138.0
Arthur the King,7.577,855,19000000,40829138,tt10720352,618588,Drama,2024,No,1.0,19000000.0,40829138.0
Assassin's Creed,5.429,7953,125000000,240700000,tt2094766,121856,Action,2016,No,1.31,163750000.0,315317000.0
Assassin's Creed,5.429,7953,125000000,240700000,tt2094766,121856,Adventure,2016,No,1.31,163750000.0,315317000.0
Assassin's Creed,5.429,7953,125000000,240700000,tt2094766,121856,Science Fiction,2016,No,1.31,163750000.0,315317000.0
Asterix & Obelix: The Middle Kingdom,4.837,1119,72000000,46497678,tt11210390,643215,Family,2023,No,1.03,74160000.0,47892608.34
Asterix & Obelix: The Middle Kingdom,4.837,1119,72000000,46497678,tt11210390,643215,Comedy,2023,No,1.03,74160000.0,47892608.34
Asterix & Obelix: The Middle Kingdom,4.837,1119,72000000,46497678,tt11210390,643215,Adventure,2023,No,1.03,74160000.0,47892608.34
Asteroid City,6.441,2286,25000000,53857743,tt14230388,747188,Comedy,2023,No,1.03,25750000.0,55473475.29
Asteroid City,6.441,2286,25000000,53857743,tt14230388,747188,Drama,2023,No,1.03,25750000.0,55473475.29
Atlas,6.704,1454,100000000,0,tt14856980,614933,Science Fiction,2024,No,1.0,100000000.0,0.0
Atlas,6.704,1454,100000000,0,tt14856980,614933,Action,2024,No,1.0,100000000.0,0.0
Atomic Blonde,6.429,6448,30000000,100014025,tt2406566,341013,Action,2017,No,1.28,38400000.0,128017952.0
Atomic Blonde,6.429,6448,30000000,100014025,tt2406566,341013,Adventure,2017,No,1.28,38400000.0,128017952.0
Atomic Blonde,6.429,6448,30000000,100014025,tt2406566,341013,Thriller,2017,No,1.28,38400000.0,128017952.0
Ava,5.828,2674,0,2987741,tt8784956,539885,Action,2020,No,1.21,0.0,3615166.61
Ava,5.828,2674,0,2987741,tt8784956,539885,Thriller,2020,No,1.21,0.0,3615166.61
Ava,5.828,2674,0,2987741,tt8784956,539885,Crime,2020,No,1.21,0.0,3615166.61
Avatar: The Way of Water,7.61,13043,350000000,2330224914,tt1630029,76600,Action,2022,No,1.07,374500000.0,2493340657.98
Avatar: The Way of Water,7.61,13043,350000000,2330224914,tt1630029,76600,Adventure,2022,No,1.07,374500000.0,2493340657.98
Avatar: The Way of Water,7.61,13043,350000000,2330224914,tt1630029,76600,Science Fiction,2022,No,1.07,374500000.0,2493340657.98
Avengers: Age of Ultron,7.271,23853,365000000,1405403694,tt2395427,99861,Action,2015,No,1.32,481800000.0,1855132876.0800002
Avengers: Age of Ultron,7.271,23853,365000000,1405403694,tt2395427,99861,Adventure,2015,No,1.32,481800000.0,1855132876.0800002
Avengers: Age of Ultron,7.271,23853,365000000,1405403694,tt2395427,99861,Science Fiction,2015,No,1.32,481800000.0,1855132876.0800002
Avengers: Endgame,8.237,26925,356000000,2799439100,tt4154796,299534,Adventure,2019,No,1.23,437880000.0,3443310093.0
Avengers: Endgame,8.237,26925,356000000,2799439100,tt4154796,299534,Science Fiction,2019,No,1.23,437880000.0,3443310093.0
Avengers: Endgame,8.237,26925,356000000,2799439100,tt4154796,299534,Action,2019,No,1.23,437880000.0,3443310093.0
Avengers: Infinity War,8.235,31137,300000000,2052415039,tt4154756,299536,Adventure,2018,No,1.25,375000000.0,2565518798.75
Avengers: Infinity War,8.235,31137,300000000,2052415039,tt4154756,299536,Action,2018,No,1.25,375000000.0,2565518798.75
Avengers: Infinity War,8.235,31137,300000000,2052415039,tt4154756,299536,Science Fiction,2018,No,1.25,375000000.0,2565518798.75
Baby Driver,7.445,16372,34000000,226945087,tt3890160,339403,Action,2017,No,1.28,43520000.0,290489711.36
Baby Driver,7.445,16372,34000000,226945087,tt3890160,339403,Crime,2017,No,1.28,43520000.0,290489711.36
Babygirl,5.739,1001,20000000,60934894,tt30057084,1097549,Drama,2024,No,1.0,20000000.0,60934894.0
