title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year,Winner
Christopher Robin,7.304,2840,75000000,197744377,tt4575576,420814,"['Adventure', 'Comedy', 'Family', 'Fantasy']",2018,No
Cinderella,6.8,7248,95000000,543514353,tt1661199,150689,"['Romance', 'Fantasy', 'Family', 'Drama']",2015,No
Circle,6.014,2070,250000,0,tt3118452,335866,"['Horror', 'Science Fiction', 'Mystery', 'Thriller']",2015,No
Civil War,6.848,3927,50000000,126542249,tt17279496,929590,"['War', 'Action', 'Drama']",2024,No
Clifford the Big Red Dog,7.2,1779,64000000,107347356,tt2397461,585245,"['Family', 'Adventure', 'Comedy', 'Fantasy']",2021,No
Climax,7.046,2260,2900000,1696075,tt8359848,507076,"['Horror', 'Drama']",2018,No
Cocaine Bear,6.022,2285,32500000,88314672,tt14209916,804150,"['Thriller', 'Comedy', 'Crime']",2023,No
Coco,8.2,20418,175000000,814641172,tt2380307,354912,"['Family', 'Animation', 'Music', 'Adventure']",2017,No
Cold Pursuit,5.86,2710,60000000,76419755,tt5719748,438650,"['Action', 'Crime', 'Thriller', 'Drama', 'Comedy']",2019,No
Collateral Beauty,7.218,5480,36000000,88528280,tt4682786,345920,"['Drama', 'Romance']",2016,No
Color Out of Space,6.054,1596,6000000,1023510,tt5073642,548473,"['Horror', 'Science Fiction', 'Mystery', 'Thriller']",2020,No
Coming 2 America,6.368,2312,60000000,0,tt6802400,484718,['Comedy'],2021,No
Conclave,7.201,3003,20000000,115657988,tt20215234,974576,"['Drama', 'Thriller']",2024,No
Concussion,7.079,2649,35000000,50400000,tt3322364,321741,['Drama'],2015,No
Countdown,6.217,2227,6500000,48021766,tt10039344,599975,"['Horror', 'Thriller']",2019,No
Crawl,6.32,3265,13500000,91500000,tt8364368,511987,"['Horror', 'Thriller']",2019,No
Crazy Rich Asians,7.062,3841,30000000,238539198,tt3104988,455207,"['Comedy', 'Romance']",2018,No
Creed,7.407,7739,37000000,173600000,tt3076658,312221,"['Drama', 'Action']",2015,No
Creed II,7.033,5629,50000000,214200000,tt6343314,480530,"['Drama', 'Action']",2018,No
Creed III,7.1,2745,75000000,275300000,tt11145118,677179,"['Drama', 'Action']",2023,No
Crimson Peak,6.7,5111,55000000,74700000,tt2554274,201085,"['Horror', 'Mystery', 'Romance']",2015,No
Cruella,7.983,9784,200000000,233503234,tt3228774,337404,"['Comedy', 'Crime', 'Adventure']",2021,No
DC League of Super-Pets,7.178,1667,90000000,203000000,tt8912936,539681,"['Family', 'Comedy', 'Adventure', 'Animation', 'Science Fiction']",2022,No
Da 5 Bloods,6.448,1132,45000000,0,tt9777644,581859,"['War', 'Drama']",2020,No
Daddy's Home,6.292,3321,50000000,242786137,tt1528854,274167,['Comedy'],2015,No
Daddy's Home 2,6.305,2645,69000000,180613180,tt5657846,419680,['Comedy'],2017,No
Damsel,6.998,2588,60000000,5000,tt13452446,763215,"['Fantasy', 'Action', 'Adventure']",2024,No
Dark Phoenix,5.963,6845,200000000,252442974,tt6565702,320288,"['Science Fiction', 'Action', 'Adventure']",2019,No
Dark Waters,7.532,2377,20000000,13601384,tt9071322,552178,"['Drama', 'Thriller']",2019,No
Darkest Hour,7.351,5348,30000000,150847207,tt4555426,399404,"['Drama', 'History']",2017,No
Day Shift,6.753,2100,100000000,0,tt13314558,755566,"['Action', 'Fantasy', 'Horror', 'Comedy', 'Thriller']",2022,No
Deadpool,7.622,32066,58000000,782837347,tt1431045,293660,"['Action', 'Adventure', 'Comedy']",2016,No
Deadpool & Wolverine,7.57,7929,200000000,1338073645,tt6263850,533535,"['Action', 'Comedy', 'Science Fiction']",2024,No
Deadpool 2,7.489,18723,110000000,785896632,tt5463162,383498,"['Action', 'Comedy', 'Adventure']",2018,No
Death Note,4.265,4051,40000000,0,tt1241317,351460,"['Crime', 'Fantasy', 'Horror']",2017,No
Death Wish,6.203,2667,30000000,34017028,tt1137450,395990,"['Action', 'Crime', 'Thriller', 'Drama']",2018,No
Death on the Nile,6.422,3979,90000000,137307235,tt7657566,505026,"['Mystery', 'Crime', 'Thriller']",2022,No
Decision to Leave,7.335,1370,0,16914773,tt12477480,705996,"['Thriller', 'Mystery', 'Romance']",2022,No
Deep Water,5.817,1531,49000000,0,tt2180339,619979,"['Drama', 'Mystery', 'Thriller']",2022,No
Deepwater Horizon,6.886,4736,110000000,121790376,tt1860357,296524,"['Drama', 'Action']",2016,No
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.209,4313,15700000,523542183,tt11032374,635302,"['Animation', 'Action', 'Fantasy', 'Thriller']",2020,No
Den of Thieves,6.854,3245,30000000,80509622,tt1259528,449443,"['Crime', 'Thriller', 'Action']",2018,No
Descendants,7.149,2444,0,0,tt3440298,277217,"['Family', 'Adventure', 'Fantasy', 'TV Movie', 'Music']",2015,No
Despicable Me 3,6.466,7455,80000000,1034800131,tt3469046,324852,"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']",2017,No
Despicable Me 4,7.015,2970,100000000,969597394,tt7510222,519182,"['Family', 'Comedy', 'Animation', 'Science Fiction']",2024,No
Dirty Grandpa,5.936,4500,11500000,94100000,tt1860213,291870,['Comedy'],2016,No
Doctor Sleep,7.143,4691,45000000,72385286,tt5606664,501170,"['Horror', 'Fantasy']",2019,No
Doctor Strange,7.418,22914,180000000,676343174,tt1211837,284052,"['Fantasy', 'Adventure', 'Action']",2016,No
Doctor Strange in the Multiverse of Madness,7.24,9872,290000000,955775804,tt9419884,453395,"['Fantasy', 'Action', 'Adventure']",2022,No
Dog,7.306,1694,20000000,84774243,tt11252248,626735,"['Drama', 'Comedy']",2022,No
Dogman,7.874,1267,0,4082217,tt17009348,944401,"['Action', 'Drama', 'Crime']",2023,No
Dogman,7.528,2258,0,5080147,tt6768578,483184,"['Crime', 'Drama', 'Thriller']",2018,No
Dolittle,6.588,3764,175000000,251410631,tt6673612,448119,"['Family', 'Comedy', 'Fantasy', 'Adventure']",2020,No
Don't Breathe,7.0,7760,9900000,158906350,tt4160708,300669,"['Horror', 'Thriller', 'Crime']",2016,No
Don't Breathe 2,7.019,2721,15000000,53785551,tt6246322,482373,"['Thriller', 'Horror']",2021,No
Don't Look Up,7.067,8890,75000000,791863,tt11286314,646380,"['Comedy', 'Science Fiction']",2021,No
Don't Move,6.335,899,0,0,tt24807110,1063877,"['Horror', 'Thriller']",2024,No
Don't Worry Darling,6.778,2782,35000000,86700000,tt10731256,619730,"['Science Fiction', 'Mystery', 'Thriller']",2022,No
Downsizing,5.387,3977,68000000,55003890,tt1389072,301337,"['Drama', 'Science Fiction', 'Comedy']",2017,No
Dragon Ball Super: Broly,7.903,3036,1000000,125002821,tt7961060,503314,"['Action', 'Science Fiction', 'Animation']",2018,No
