title,vote_average,vote_count,budget,revenue,imdb_id,genres,id
Alien: Romulus,7.175,4090,80000000,350865342,tt18412256,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",945961
Gladiator II,6.653,3991,310000000,462180717,tt9218128,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",558449
Kingdom of the Planet of the Apes,7.057,3960,160000000,397378150,tt11389872,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",653346
Civil War,6.848,3927,50000000,126542249,tt17279496,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",929590
The Beekeeper,7.3,3868,35000000,152720535,tt15314262,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",866398
Venom: The Last Dance,6.683,3842,120000000,478937618,tt16366836,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",912649
The Fall Guy,6.982,3307,125000000,181073291,tt1684562,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",746036
Kung Fu Panda 4,7.029,3275,80000000,548040835,tt21692408,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",1011985
Nosferatu,6.691,3242,50000000,181764515,tt5040012,"[{'id': 27, 'name': 'Horror'}, {'id': 14, 'name': 'Fantasy'}]",426063
Bad Boys: Ride or Die,7.346,3113,100000000,404547819,tt4919268,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",573435
A Quiet Place: Day One,6.684,3018,67000000,261907653,tt13433802,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",762441
Sonic the Hedgehog 3,7.647,3013,122000000,492162604,tt18259086,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",939243
Conclave,7.201,3003,20000000,115657988,tt20215234,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",974576
The Mother,6.625,1353,0,0,tt6968614,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",552688
No One Will Save You,6.679,1338,22800000,0,tt14509110,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",820609
The Three Musketeers: D'Artagnan,6.938,1322,27500000,31843086,tt12672536,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",796185
When Evil Lurks,7.209,1306,0,2090252,tt16300962,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",744857
Retribution,6.564,1298,20000000,18685751,tt6906292,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",762430
Leo,7.392,1282,0,0,tt5755238,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1075794
Nimona,7.868,1271,0,0,tt19500164,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",961323
Dogman,7.874,1267,0,4082217,tt17009348,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",944401
Knights of the Zodiac,6.3,1241,60000000,7000000,tt6528290,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",455476
The Wonderful Story of Henry Sugar,7.239,1232,0,0,tt16968450,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",923939
Beau Is Afraid,6.718,1225,35000000,12337378,tt13521006,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",798286
To Catch a Killer,6.864,1209,0,3138750,tt10275534,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",605886
