title,genre_ids,vote_average,vote_count,release_year,id
The Hunger Games: The Ballad of Songbirds & Snakes,"[18, 878, 28]",7.0,3260,2023,695721
The Little Mermaid,"[12, 10751, 14, 10749]",6.29,3179,2023,447277
The Marvels,"[878, 12, 28]",5.963,3155,2023,609681
Gran Turismo,"[12, 28, 18]",7.739,3154,2023,980489
The Pope's Exorcist,"[27, 53]",6.933,3010,2023,758323
Anatomy of a Fall,"[53, 9648, 80]",7.539,3006,2023,915935
Leave the World Behind,"[18, 9648, 53]",6.377,2973,2023,726209
Blue Beetle,"[28, 878, 12]",6.659,2942,2023,565770
Scream VI,"[27, 80, 53]",6.974,2938,2023,934433
Guy Ritchie's The Covenant,"[10752, 28, 53]",7.73,2938,2023,882569
Knock at the Cabin,"[27, 9648, 53]",6.255,2936,2023,631842
Napoleon,"[36, 10752, 10749]",6.3,2898,2023,753342
Oppenheimer,"[18, 36]",8.046,10955,2023,872585
Barbie,"[35, 12]",6.946,10459,2023,346698
The Super Mario Bros. Movie,"[10751, 35, 12, 16, 14]",7.603,10065,2023,502356
Spider-Man: Across the Spider-Verse,"[16, 28, 12, 878]",8.338,8026,2023,569094
Guardians of the Galaxy Vol. 3,"[878, 12, 28, 35]",7.932,7783,2023,447365
John Wick: Chapter 4,"[28, 53, 80]",7.716,7477,2023,603692
Fast X,"[28, 80, 53, 12, 9648]",7.016,6104,2023,385687
Ant-Man and the Wasp: Quantumania,"[28, 12, 878]",6.3,5508,2023,640146
Transformers: Rise of the Beasts,"[878, 12, 28]",7.202,5071,2023,667538
Poor Things,"[878, 10749, 35]",7.661,5069,2023,792307
Elemental,"[10751, 14, 35, 10749, 16]",7.6,5026,2023,976573
The Flash,"[28, 878, 12]",6.6,4754,2023,298618
Mission: Impossible - Dead Reckoning Part One,"[28, 53]",7.519,4716,2023,575264
Five Nights at Freddy's,"[27, 53]",7.374,4620,2023,507089
Dungeons & Dragons: Honor Among Thieves,"[12, 14, 35]",7.332,4231,2023,493529
Wonka,"[35, 10751, 14]",7.053,4118,2023,787699
My Fault,"[18, 10749, 53]",7.763,3919,2023,1010581
Indiana Jones and the Dial of Destiny,"[12, 28]",6.531,3861,2023,335977
Killers of the Flower Moon,"[80, 36, 18]",7.409,3834,2023,466420
Meg 2: The Trench,"[28, 878, 27]",6.404,3776,2023,615656
The Sea Beast,"[16, 12, 28, 10751, 14]",7.325,1608,2022,560057
Memory,"[28, 53, 80]",6.746,1595,2022,818397
Suzume,"[16, 18, 12, 14]",7.896,1587,2022,916224
Texas Chainsaw Massacre,[27],5.21,1571,2022,632727
Three Thousand Years of Longing,"[18, 14, 10749]",6.885,1563,2022,556694
Deep Water,"[18, 9648, 53]",5.817,1531,2022,619979
Bones and All,"[27, 10749, 18]",7.027,1518,2022,791177
RRR,"[28, 12, 18]",7.739,1474,2022,579974
Blonde,[18],5.929,1462,2022,301502
Werewolf by Night,"[28, 14, 27]",6.978,1432,2022,894205
TÁR,"[10402, 18]",7.09,1426,2022,817758
Thirteen Lives,"[18, 53]",7.857,1399,2022,698948
Decision to Leave,"[53, 9648, 10749]",7.335,1370,2022,705996
Strange World,"[16, 10751, 12, 878, 14]",6.3,1364,2022,877269
The Good Nurse,"[18, 80, 9648]",6.874,1354,2022,541134
Bodies Bodies Bodies,"[27, 35, 9648]",6.177,1349,2022,520023
Ticket to Paradise,"[18, 35, 10749]",6.43,1339,2022,800939
The School for Good and Evil,"[14, 35, 12, 18]",7.051,1325,2022,779782
